name,unitType,portionName,kcal,protein,carbs,fat,fatSource,isEstimated,aliases
"Amaranth seed, black",GRAM,,356.1,14.59,59.98,5.74,GRAIN_LEGUME,false,
"Amaranth seed, pale brown",GRAM,,355.9,13.27,61.46,5.56,GRAIN_LEGUME,false,
Bajra,GRAM,,348.0,10.96,61.78,5.43,GRAIN_LEGUME,false,
Barley,GRAM,,315.7,10.94,61.29,1.3,GRAIN_LEGUME,false,
Jowar,GRAM,,334.1,9.97,67.68,1.73,GRAIN_LEGUME,false,
"Maize, dry",GRAM,,334.1,8.8,64.77,3.77,GRAIN_LEGUME,false,
"Maize, tender, local",GRAM,,120.0,3.57,22.69,1.4,GRAIN_LEGUME,false,
"Maize, tender, sweet",GRAM,,96.8,4.16,16.42,1.35,GRAIN_LEGUME,false,
Quinoa,GRAM,,328.4,13.11,53.65,5.5,GRAIN_LEGUME,false,
Ragi,GRAM,,320.7,7.16,66.82,1.92,GRAIN_LEGUME,false,
"Rice, flakes",GRAM,,353.7,7.44,76.75,1.14,GRAIN_LEGUME,false,
"Rice, puffed",GRAM,,361.9,7.47,77.68,1.62,GRAIN_LEGUME,false,
"Rice, raw, brown",GRAM,,353.7,9.16,74.8,1.24,GRAIN_LEGUME,false,
"Rice, parboiled, milled",GRAM,,351.6,7.81,77.16,0.55,GRAIN_LEGUME,false,
"Rice, raw, milled",GRAM,,356.4,7.94,78.24,0.52,GRAIN_LEGUME,false,
Samai,GRAM,,346.3,10.13,65.55,3.89,GRAIN_LEGUME,false,
Varagu,GRAM,,331.7,8.92,66.19,2.55,GRAIN_LEGUME,false,
"Wheat flour, refined",GRAM,,351.8,10.36,74.27,0.76,GRAIN_LEGUME,false,
"Wheat flour, atta",GRAM,,320.3,10.57,64.17,1.53,GRAIN_LEGUME,false,
"Wheat, whole",GRAM,,321.9,10.59,64.72,1.47,GRAIN_LEGUME,false,
"Wheat, bulgur",GRAM,,341.8,10.84,69.06,1.45,GRAIN_LEGUME,false,
"Wheat, semolina",GRAM,,333.7,11.38,68.43,0.74,GRAIN_LEGUME,false,
"Wheat, vermicelli",GRAM,,332.7,9.7,70.39,0.45,GRAIN_LEGUME,false,
"Wheat, vermicelli, roasted",GRAM,,340.1,10.37,71.42,0.49,GRAIN_LEGUME,false,
"Bengal gram, dal",GRAM,,329.1,21.55,46.72,5.31,GRAIN_LEGUME,false,
"Bengal gram, whole",GRAM,,287.0,18.77,39.56,5.11,GRAIN_LEGUME,false,
"Black gram, dal",GRAM,,324.1,23.06,51.0,1.69,GRAIN_LEGUME,false,
"Black gram, whole",GRAM,,291.3,21.97,43.99,1.58,GRAIN_LEGUME,false,
"Cowpea, brown",GRAM,,320.3,20.36,54.62,1.15,GRAIN_LEGUME,false,
"Cowpea, white",GRAM,,320.3,21.25,53.77,1.14,GRAIN_LEGUME,false,
"Field bean, black",GRAM,,276.1,19.93,43.46,0.92,GRAIN_LEGUME,false,
"Field bean, brown",GRAM,,283.0,19.9,45.24,0.98,GRAIN_LEGUME,false,
"Field bean, white",GRAM,,280.4,19.84,44.53,0.94,GRAIN_LEGUME,false,
"Green gram, dal",GRAM,,325.8,23.88,52.59,1.35,GRAIN_LEGUME,false,
"Green gram, whole",GRAM,,293.7,22.53,46.13,1.14,GRAIN_LEGUME,false,
"Horse gram, whole",GRAM,,329.6,21.73,57.24,0.62,GRAIN_LEGUME,false,
"Lentil, dal",GRAM,,322.4,24.35,52.53,0.75,GRAIN_LEGUME,false,
"Lentil, whole, brown",GRAM,,299.0,22.49,48.47,0.64,GRAIN_LEGUME,false,
"Lentil, whole, yellowish",GRAM,,297.8,22.87,47.91,0.61,GRAIN_LEGUME,false,
Moth bean,GRAM,,308.6,19.75,52.09,1.76,GRAIN_LEGUME,false,
"Peas, dry",GRAM,,303.3,20.43,48.93,1.89,GRAIN_LEGUME,false,
"Rajmah, black",GRAM,,298.0,19.01,49.59,1.62,GRAIN_LEGUME,false,
"Rajmah, brown",GRAM,,297.6,19.5,48.83,1.68,GRAIN_LEGUME,false,
"Rajmah, red",GRAM,,299.2,19.91,48.61,1.77,GRAIN_LEGUME,false,
"Red gram, dal",GRAM,,330.8,21.7,55.23,1.56,GRAIN_LEGUME,false,
"Red gram, whole",GRAM,,273.9,20.47,42.48,1.38,GRAIN_LEGUME,false,
Ricebean,GRAM,,302.3,19.97,51.26,0.74,GRAIN_LEGUME,false,
"Soya bean, brown",GRAM,,381.5,35.58,12.79,19.82,GRAIN_LEGUME,false,
"Soya bean, white",GRAM,,377.4,37.8,10.16,19.42,GRAIN_LEGUME,false,
Agathi leaves,GRAM,,70.5,8.01,5.21,1.35,GRAIN_LEGUME,false,
"Amaranth leaves, green",GRAM,,30.6,3.29,2.28,0.65,GRAIN_LEGUME,false,
"Amaranth leaves, red",GRAM,,33.5,3.93,2.37,0.63,GRAIN_LEGUME,false,
"Amaranth leaves, red and green",GRAM,,31.5,3.09,2.87,0.53,GRAIN_LEGUME,false,
"Amaranth, spinous, leaves, green",GRAM,,26.3,3.54,1.61,0.36,GRAIN_LEGUME,false,
"Amaranth, spinous, leaves, red and green",GRAM,,23.7,2.8,1.45,0.34,GRAIN_LEGUME,false,
Basella leaves,GRAM,,19.6,1.57,2.01,0.45,GRAIN_LEGUME,false,
Bathua leaves,GRAM,,27.7,2.5,2.56,0.44,GRAIN_LEGUME,false,
Beetroot leaves,GRAM,,34.7,2.38,3.86,0.75,GRAIN_LEGUME,false,
"Betel leaves, big (kolkata)",GRAM,,48.3,2.51,7.37,0.75,GRAIN_LEGUME,false,
"Betel leaves, small",GRAM,,43.7,2.62,6.16,0.75,GRAIN_LEGUME,false,
Brussels sprouts,GRAM,,44.2,4.26,5.09,0.5,GRAIN_LEGUME,false,
"Cabbage, Chinese",GRAM,,17.9,1.58,2.36,0.13,GRAIN_LEGUME,false,
"Cabbage, collard greens",GRAM,,30.1,3.63,2.79,0.27,GRAIN_LEGUME,false,
"Cabbage, green",GRAM,,21.5,1.36,3.25,0.12,GRAIN_LEGUME,false,
"Cabbage, violet",GRAM,,23.2,1.39,3.54,0.21,GRAIN_LEGUME,false,
Cauliflower leaves,GRAM,,35.4,3.9,3.39,0.42,GRAIN_LEGUME,false,
"Colocasia leaves, green",GRAM,,43.5,3.42,3.69,1.38,GRAIN_LEGUME,false,
Drumstick leaves,GRAM,,67.4,6.41,5.62,1.64,GRAIN_LEGUME,false,
Fenugreek leaves,GRAM,,34.4,3.68,2.17,0.83,GRAIN_LEGUME,false,
Garden cress,GRAM,,49.7,5.62,4.48,0.8,GRAIN_LEGUME,false,
"Gogu leaves, green stem",GRAM,,36.3,1.86,4.06,1.09,GRAIN_LEGUME,false,
"Gogu leaves, red stem",GRAM,,36.6,1.85,4.24,1.07,GRAIN_LEGUME,false,
"Knol-Khol, leaves",GRAM,,42.5,3.12,6.16,0.35,GRAIN_LEGUME,false,
Lettuce,GRAM,,21.7,1.54,3.01,0.27,GRAIN_LEGUME,false,
Mustard leaves,GRAM,,30.4,3.52,2.41,0.51,GRAIN_LEGUME,false,
Pak Choi leaves,GRAM,,16.0,1.41,1.78,0.25,GRAIN_LEGUME,false,
Parsley,GRAM,,72.9,5.55,9.43,1.14,GRAIN_LEGUME,false,
Ponnaganni,GRAM,,50.9,5.29,5.17,0.71,GRAIN_LEGUME,false,
"Pumpkin leaves, tender",GRAM,,44.2,4.21,4.75,0.74,GRAIN_LEGUME,false,
Radish leaves,GRAM,,26.1,2.22,2.77,0.51,GRAIN_LEGUME,false,
Rumex leaves,GRAM,,19.6,1.62,2.33,0.33,GRAIN_LEGUME,false,
Spinach,GRAM,,24.4,2.14,2.05,0.64,GRAIN_LEGUME,false,
"Tamarind leaves, tender",GRAM,,71.5,5.84,10.04,0.49,GRAIN_LEGUME,false,
Ash gourd,GRAM,,17.4,0.79,2.84,0.14,GRAIN_LEGUME,false,
"Bamboo shoot, tender",GRAM,,16.3,1.33,1.67,0.35,GRAIN_LEGUME,false,
"Bean scarlet, tender",GRAM,,42.8,2.86,5.16,0.99,GRAIN_LEGUME,false,
"Bitter gourd, jagged, teeth ridges, elongate",GRAM,,20.8,1.44,2.82,0.24,GRAIN_LEGUME,false,
"Bitter gourd, jagged, teeth ridges, short",GRAM,,18.9,1.34,2.53,0.24,GRAIN_LEGUME,false,
"Bitter gourd, jagged, smooth ridges, elongate",GRAM,,19.4,1.61,2.29,0.26,GRAIN_LEGUME,false,
"Bottle gourd, elongate, pale green",GRAM,,11.0,0.53,1.68,0.13,GRAIN_LEGUME,false,
"Bottle gourd, round, pale green",GRAM,,13.6,0.42,2.53,0.12,GRAIN_LEGUME,false,
"Bottle gourd, elongate, dark green",GRAM,,12.9,0.49,2.25,0.13,GRAIN_LEGUME,false,
Brinjal 1,GRAM,,27.2,1.77,3.49,0.39,GRAIN_LEGUME,false,
Brinjal 2,GRAM,,23.7,1.82,2.71,0.34,GRAIN_LEGUME,false,
Brinjal 3,GRAM,,24.4,1.36,3.38,0.33,GRAIN_LEGUME,false,
Brinjal 4,GRAM,,23.9,1.51,3.19,0.31,GRAIN_LEGUME,false,
Brinjal 5,GRAM,,26.5,1.38,4.02,0.29,GRAIN_LEGUME,false,
Brinjal 6,GRAM,,23.2,1.46,3.29,0.29,GRAIN_LEGUME,false,
Brinjal 7,GRAM,,23.4,1.4,3.1,0.37,GRAIN_LEGUME,false,
Brinjal 8,GRAM,,28.0,1.82,3.75,0.33,GRAIN_LEGUME,false,
Brinjal 9,GRAM,,25.3,1.47,3.52,0.35,GRAIN_LEGUME,false,
Brinjal 10,GRAM,,27.7,1.68,4.08,0.25,GRAIN_LEGUME,false,
Brinjal 11,GRAM,,25.1,1.43,3.53,0.31,GRAIN_LEGUME,false,
Brinjal 12,GRAM,,22.2,1.6,2.73,0.27,GRAIN_LEGUME,false,
Brinjal 13,GRAM,,29.6,1.49,4.51,0.31,GRAIN_LEGUME,false,
Brinjal 14,GRAM,,25.3,1.56,3.27,0.35,GRAIN_LEGUME,false,
Brinjal 15,GRAM,,27.2,1.58,3.96,0.29,GRAIN_LEGUME,false,
Brinjal 16,GRAM,,24.6,1.26,3.46,0.34,GRAIN_LEGUME,false,
Brinjal 17,GRAM,,21.7,1.18,2.89,0.36,GRAIN_LEGUME,false,
Brinjal 18,GRAM,,27.7,1.47,4.1,0.33,GRAIN_LEGUME,false,
Brinjal 19,GRAM,,23.9,1.26,3.39,0.31,GRAIN_LEGUME,false,
Brinjal 20,GRAM,,23.7,1.44,3.15,0.34,GRAIN_LEGUME,false,
Brinjal 21,GRAM,,27.0,1.36,3.93,0.35,GRAIN_LEGUME,false,
Brinjal - all varieties,GRAM,,25.3,1.48,3.52,0.32,GRAIN_LEGUME,false,
Broad beans,GRAM,,29.4,3.85,2.11,0.15,GRAIN_LEGUME,false,
"Capsicum, green",GRAM,,16.3,1.11,1.84,0.34,GRAIN_LEGUME,false,
"Capsicum, red",GRAM,,19.8,1.47,2.14,0.47,GRAIN_LEGUME,false,
"Capsicum, yellow",GRAM,,18.6,1.35,1.95,0.41,GRAIN_LEGUME,false,
Cauliflower,GRAM,,22.9,2.15,2.03,0.44,GRAIN_LEGUME,false,
Celery stalk,GRAM,,16.5,0.98,2.33,0.24,GRAIN_LEGUME,false,
Cho-cho-marrow,GRAM,,18.9,0.66,3.47,0.15,GRAIN_LEGUME,false,
Cluster beans,GRAM,,40.2,3.55,4.91,0.37,GRAIN_LEGUME,false,
"Colocasia, stem, black",GRAM,,23.9,0.76,3.83,0.34,GRAIN_LEGUME,false,
"Colocasia, stem, green",GRAM,,19.4,0.91,2.86,0.22,GRAIN_LEGUME,false,
"Corn, baby",GRAM,,73.1,2.69,11.66,1.33,GRAIN_LEGUME,false,
"Cucumber, green, elongate",GRAM,,19.6,0.71,3.48,0.16,GRAIN_LEGUME,false,
"Cucumber, green, short",GRAM,,17.4,0.83,2.82,0.18,GRAIN_LEGUME,false,
